83910,Caceres,ESP,2,39.47,-6.33,1,405,SWEC,,,,,,,,,1.047197551,
Año,mes,día,hora,GHI,DNI,DHI,T seca,T humeda,Presión,Wdir,Wspd,Alb,Topocentric sun declination,Topocentric local hour angle,Azimut,Elevacion,Topocentric zenith angle,Top. azimuth angle (westward from S)
1989,1,8,11,220,470,69,8.9,5.1,96512,999,2.6,0.16,-22.184592,321.977361,322.992619,18.675177,71.324823,322.992619
1989,1,8,12,343,615,87,10,5.6,96512,999,3.1,0.16,-22.178951,336.973468,336.552644,24.485508,65.514492,336.552644
1989,1,8,13,432,719,97,11.7,5.8,96512,999,3.6,0.16,-22.173253,351.969634,351.603632,27.659806,62.340194,351.603632
1989,1,8,14,463,760,108,13.3,6,96512,999,4.1,0.16,-22.167494,6.965824,7.290933,27.777099,62.222901,7.290933
1989,1,8,15,435,725,131,14.4,6.3,96512,999,4.6,0.16,-22.161673,21.962001,22.427438,24.820375,65.179625,22.427438
1989,1,8,16,350,621,146,14.4,6.3,96512,80,5.1,0.16,-22.155794,36.958129,36.116896,19.186583,70.813417,36.116896
1989,1,8,17,227,476,133,13.9,6.3,96512,999,3.7,0.16,-22.149863,51.954176,48.082707,11.482575,78.517425,48.082707
1989,1,8,18,97,0,97,13.3,6.3,96512,999,2.4,0.16,-22.143889,66.950116,58.529015,2.411569,87.588431,58.529015
1989,1,8,19,18,0,0,12.8,6,96512,40,1,0.16,-22.137884,81.945931,67.882972,-8.113777,98.113777,67.882972
1989,1,8,20,0,0,0,11.7,5.8,96512,999,1.7,0.16,-22.13186,96.941611,76.656433,-19.083715,109.083715,76.656433
1989,1,8,21,0,0,0,11.1,5.3,96512,999,2.4,0.16,-22.125828,111.937155,85.452484,-30.458246,120.458246,85.452484
1989,1,8,22,0,0,0,10.6,5.1,96512,60,3.1,0.16,-22.119803,126.932573,95.120706,-41.971491,131.971491,95.120706
1989,1,8,23,0,0,0,10,4.6,96512,999,3.1,0.16,-22.113795,141.927882,107.198923,-53.270898,143.270898,107.198923
1989,1,8,24,0,0,0,9.4,4.3,96512,999,3.1,0.16,-22.107813,156.923109,125.135004,-63.637084,153.637084,125.135004
1989,1,9,1,0,0,0,9.4,3.8,96512,60,3.1,0.16,-22.101864,171.918284,156.33144,-71.06689,161.06689,156.33144
1989,1,9,2,0,0,0,9.4,3.5,96512,60,2.6,0.16,-22.095951,186.913444,200.465603,-71.398838,161.398838,200.465603
1989,1,9,3,0,0,0,8.9,3.5,96512,999,1.3,0.16,-22.090073,201.908625,233.006947,-64.350112,154.350112,233.006947
1989,1,9,4,0,0,0,9.4,3.2,96512,0,0,0.16,-22.084229,216.903863,251.641427,-54.108175,144.108175,251.641427
